time,foot1,foot2,hand1,hand2,pos1,pos2,result,score,bout
1:18:12,,ff,,,,,,,
1:18:13,,fs,,,,,,,
1:18:14,,,,,,,,,
1:18:15,,,,,,,,,
1:18:16,,,,,,,,,
1:18:17,,,,,,,,,
1:18:18,bf,,,,,,,,
1:18:19,bs,,,,,,,,
1:18:20,,,,,,,,,
1:18:21,,,,,,,,,
1:18:22,,,,,,,,,
1:18:23,,,,,,,,,
1:18:24,,ff,,,,,,,
1:18:25,,as,,,,,,,
1:18:26,,,,,,,,,
1:18:27,,,,,,,,,
1:18:28,bf,,,,,,,,
1:18:29,bs,,,,,,,,
1:19:00,,,,,,,,,
1:19:01,,,,,,,,,
1:19:02,,,,,,,,,
1:19:03,,,,,,,,,
1:19:04,,,,,,,,,
1:19:05,,,,,,,,,
1:19:06,,,,,,,,,
1:19:07,,,,,,,,,
1:19:08,,,,,,,,,
1:19:09,,,,,,,,,
1:19:10,,,,,,,,,
1:19:11,,,,,,,,,
1:19:12,,,,,,,,,
1:19:13,,af,,,,,,,
1:19:14,bf,,,,,,,,
,,,,,,,a,2,
,,,,,,,,,8
1:32:08,fs,fs,,,,,,,
1:32:09,,,,,,,,,
1:32:10,,,,,,,,,
1:32:11,,,,,,,,,
1:32:12,,,,,,,,,
1:32:13,,,,,,,,,
1:32:14,,,,,,,,,
1:32:15,,,,,,,,,
1:32:16,,,,,,,,,
1:32:17,,,,,,,,,
1:32:18,,,,,,,,,
1:32:19,,ff,,,,,,,
1:32:20,ff,as,,,,,,,
1:32:21,as,,,,,,,,
1:32:22,,,,,,,,,
1:32:23,,,,,,,,,
1:32:24,,,,,,,,,
1:32:25,,,,,,,,,
1:32:26,,,,,,,,,
1:32:27,,,,,,,,,
1:32:28,,,,,,,,,
1:32:29,,,,,,,,,
1:33:00,,,,,,,,,
1:33:01,,,,,,,,,
1:33:02,,,,,,,,,
1:33:03,,af,,,,,,,
1:33:04,af,,,,,,,,
,,,,,,,b,,
,,,,,,,,,9
1:42:23,fs,,,,,,,,
1:42:24,,fs,,,,,,,
1:42:25,,,,,,,,,
1:42:26,,,,,,,,,
1:42:27,,,,,,,,,
1:42:28,,,,,,,,,
1:42:29,,,,,,,,,
1:43:00,,,,,,,,,
1:43:01,,,,,,,,,
1:43:02,,,,,,,,,
1:43:03,,,,,,,,,
1:43:04,ff,,,,,,,,
1:43:05,fs,,,,,,,,
1:43:06,,ff,,,,,,,
1:43:07,,as,,,,,,,
1:43:08,,,,,,,,,
1:43:09,,,,,,,,,
1:43:10,,,,,,,,,
1:43:11,ff,,,,,,,,
1:43:12,as,,,,,,,,
1:43:13,,,,,,,,,
1:43:14,,,,,,,,,
1:43:15,,,,,,,,,
1:43:16,,,,,,,,,
1:43:17,,,,,,,,,
1:43:18,,,,,,,,,
1:43:19,af,,,,,,,,
1:43:20,,,,,,,,,
1:43:21,,af,,,,,,,
,,,,,,,a,1,
,,,,,,,,,10
2:01:24,fs,fs,,,,,,,
2:01:25,,,,,,,,,
2:01:26,,,,,,,,,
2:01:27,,,,,,,,,
2:01:28,,,,,,,,,
2:01:29,,,,,,,,,
2:02:00,,,,,,,,,
2:02:01,,,,,,,,,
2:02:02,,,,,,,,,
2:02:03,,,,,,,,,
2:02:04,ff,ff,,,,,,,
2:02:05,fs,as,,,,,,,
2:02:06,,,,,,,,,
2:02:07,,,,,,,,,
2:02:08,,,,,,,,,
2:02:09,,,,,,,,,
2:02:10,,,,,,,,,
2:02:11,ff,,,,,,,,
2:02:12,as,,,,,,,,
2:02:13,,,,,,,,,
2:02:14,,,,,,,,,
2:02:15,,,,,,,,,
2:02:16,,,,,,,,,
2:02:17,,,,,,,,,
2:02:18,,,,,,,,,
2:02:19,af,af,,,,,,,
,,,,,,,a,2,
,,,,,,,,,11
2:26:27,fs,fs,,,,,,,
2:26:28,,,,,,,,,
2:26:29,,,,,,,,,
2:27:00,,,,,,,,,
2:27:01,,,,,,,,,
2:27:02,,,,,,,,,
2:27:03,,,,,,,,,
2:27:04,,,,,,,,,
