time,foot1,foot2,hand1,hand2,pos1,pos2,ground,result,flow,score,bout
,,,,,,,,,,,1
4:40:20,,,,as,,,,,,,
4:40:21,,,,,,,,,,,
4:40:22,,,,,,,,,,,
4:40:23,,,,,,,,,,,
4:40:24,,,h,h,,,,,,,
4:40:25,af,af,,,,,,,,,
,,,,,,,,b,ffb,,
,,,,,,,,,,,11
4:48:22,fs,fs,,,,,,,,,
4:48:23,,,,,,,,,,,
4:48:24,,,,,,,,,,,
4:48:25,,,,,,,,,,,
4:48:26,,,,,,,,,,,
4:48:27,,,,,,,,,,,
4:48:28,,,,,,,,,,,
4:48:29,ff,ff,,,,,,,,,
4:49:00,fs,fs,,,,,,,,,
4:49:01,,,,,,,,,,,
4:49:02,,,,,,,,,,,
4:49:03,,,,,,,,,,,
4:49:04,,,,,,,,,,,
4:49:05,,,,,,,,,,,
4:49:06,,,,,,,,,,,
4:49:07,ff,ff,,,,,,,,,
4:49:08,bs,bs,,,,,,,,,
4:49:09,,,,,,,,,,,
4:49:10,,,,,,,,,,,
4:49:11,,,,,,,,,,,
4:49:12,,,,,,,,,,,
4:49:13,,,,,,,,,,,
4:49:14,,,,,,,,,,,
4:49:15,bf,,,,,,,,,,
4:49:16,fs,,,,,,,,,,
4:49:17,,,,,,,,,,,
4:49:18,,,,,,,,,,,
4:49:19,,bf,,,,,,,,,
4:49:20,,as,,,,,,,,,
4:49:21,,,,,,,,,,,
4:49:22,,,,,,,,,,,
4:49:23,ff,,,,,,,,,,
4:49:24,fs,,,,,,,,,,
4:49:25,,,,,,,,,,,
4:49:26,,,,,,,,,,,
4:49:27,,,,,,,,,,,
4:49:28,,,,,,,,,,,
4:49:29,,,,,,,,,,,
4:50:00,ff,,,as,,,,,,,
4:50:01,bs,,,,,,,,,,
4:50:02,,,,,,,,,,,
4:50:03,,,ps,,,,,,,,
4:50:04,,,,,,,,,,,
4:50:05,,,p,hp,,,,,,,
4:50:06,,af,rs,,,,,,,,
4:50:07,,,,,,,,,,,
4:50:08,,,,,,,,,,,
4:50:09,,,,,,,,,,,
4:50:10,,,,,,,,,,,
4:50:11,,,,,,,,,,,
4:50:12,,,h,,,,,,,,
4:50:13,bf,,,,,,,,,,
,,,,,,,,r,bbbfr,1,
,,,,,,,,,,,12
5:02:16,fs,fs,,,,,,,,,
5:02:17,,,,,,,,,,,
5:02:18,,,,,,,,,,,
5:02:19,,,,,,,,,,,
5:02:20,,,,,,,,,,,
5:02:21,,ff,,,,,,,,,
5:02:22,,fs,,,,,,,,,
5:02:23,,,,,,,,,,,
5:02:24,,,,,,,,,,,
5:02:25,,,,,,,,,,,
5:02:26,,,,,,,,,,,
5:02:27,ff,,,,,,,,,,
5:02:28,as,,,,,,,,,,
5:02:29,,,,,,,,,,,
5:03:00,,,,,,,,,,,
5:03:01,,,,,,,,,,,
5:03:02,,,,,,,,,,,
5:03:03,,ff,,,,,,,,,
5:03:04,,as,,,,,,,,,
5:03:05,,,,,,,,,,,
5:03:06,,,as,as,,,,,,,
5:03:07,,,,,,,,,,,
5:03:08,,,,h,,,,,,,
5:03:09,,,,,,,,,,,
5:03:10,,af,h,,,,,,,,
5:03:11,af,,,,,,,,,,
,,,,,,,,a,ff2,2,
,,,,,,,,,,,13
5:15:22,fs,fs,,,,,,,,,
5:15:23,,,,,,,,,,,
5:15:24,,,,,,,,,,,
5:15:25,,,,,,,,,,,
5:15:26,,,,,,,,,,,
5:15:27,,,,,,,,,,,
5:15:28,ff,,,,,,,,,,
5:15:29,fs,,,,,,,,,,
5:16:00,,ff,,,,,,,,,
5:16:01,,fs,,,,,,,,,
5:16:02,,,,,,,,,,,
5:16:03,,,,,,,,,,,
5:16:04,,,,,,,,,,,
5:16:05,,,,ps,,5,,,,,
5:16:06,,,,,,,,,,,
5:16:07,,,ps,,3,,,,,,
5:16:08,,,,,,,,,,,
5:16:09,ff,,,,,,,,,,
5:16:10,bs,ff,,pf,,,,,,,
5:16:11,,as,pf,,,,,,,,
5:16:12,,,as,,,,,,,,
5:16:13,,,,,,,,,,,
5:16:14,,,,as,,,,,,,
5:16:15,bf,,,,,,,,,,
5:16:16,bs,,h,,3,,,,,,
5:16:17,,,,,,,,,,,
5:16:18,,,,,,,,,,,
5:16:19,bf,af,,h,,,,,,,
,,,,,,,,a,bbbfa,1,
,,,,,,,,,,,14
5:34:25,fs,fs,,,,,,,,,
5:34:26,,,,,,,,,,,
5:34:27,,,,,,,,,,,
5:34:28,,,,,,,,,,,
5:34:29,,,,,,,,,,,
5:35:00,,,,,,,,,,,
