time,foot1,foot2,hand1,hand2,pos1,pos2,ground,result,flow,score,bout,
4:49:17,as,,,,,,,,,,,
4:49:18,,,,,,,,,,,,
4:49:19,,ff,,,,,,,,,,
4:49:20,,bs,,,,,,,,,,
4:49:21,,,,,,,,,,,,
4:49:22,,,as,,,,,,,,,
4:49:23,,,,,,,,,,,,
4:49:24,af,,,,,,,,,,,
4:49:25,,,,,,,,,,,,
4:49:26,,,,,,,,,,,,
4:49:27,,,af,,,,,,,,,
4:49:28,,,,,,,,,,,,
4:49:29,,,,,,,,,,,,
4:50:00,,,,,,,,,,,,
4:50:01,,,,,,,,,,,,
4:50:02,,,,,,,,,,,,
4:50:03,,,,,,,,,,,,
4:50:04,,as,ps,,,,,,,,,
4:50:05,,,,,,,,,,,,
4:50:06,,,,,,,,,,,,
4:50:07,,,,,,,,,,,,
4:50:08,,,,,,,,,,,,
4:50:09,,,pf,,,,,,,,,
4:50:10,,,,as,,,,,,,,
4:50:11,,,,,,,,,,,,
4:50:12,,,,,,,,,,,,
4:50:13,,,,h,,,,,,,,
4:50:14,,af,,,,,,,,,,
,,,,,,,,a,fba,2,,
,,,,,,,,,,,16,
5:09:06,fs,fs,,,,,,,,,,
5:09:07,,,,,,,,,,,,
5:09:08,,,,,,,,,,,,
5:09:09,,,,,,,,,,,,
5:09:10,,,,,,,,,,,,
5:09:11,,,,,,,,,,,,
5:09:12,,,,,,,,,,,,
5:09:13,,,,,,,,,,,,
5:09:14,,,,,,,,,,,,
5:09:15,,,,,,,,,,,,
5:09:16,ff,,,,,,,,,,,
5:09:17,fs,,,,,,,,,,,
5:09:18,,,,,,,,,,,,
5:09:19,,,,,,,,,,,,
5:09:20,,,,,,,,,,,,
5:09:21,,,,,,,,,,,,
5:09:22,,,,,,,,,,,,
5:09:23,ff,ff,,,,,,,,,,
